Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,10:21:11 AM,10:21:33 AM,10:21:54 AM,10:22:15 AM,10:22:30 AM,10:22:37 AM,10:22:43 AM,10:22:48 AM,10:22:54 AM,10:23:00 AM,10:23:05 AM,10:23:12 AM,10:23:18 AM,10:23:24 AM,10:23:29 AM,10:23:35 AM,10:23:41 AM,10:23:47 AM,10:23:53 AM,10:23:59 AM,10:24:04 AM,10:24:10 AM,10:24:15 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],7 * 1000.000,7 * 1000.000,7 * 1000.000,4 * 1000.000,1 * 877.690,1 * 622.160,1 * 507.750,2 * 433.810,2 * 355.900,2 * 303.020,3 * 271.250,3 * 243.440,3 * 220.300,3 * 208.880,4 * 186.240,4 * 173.920,4 * 160.620,4 * 151.090,4 * 140.190,4 * 132.660,4 * 123.000,4 * 118.720,4 * 119.000
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),2.01E-04,3.34E-04,2.33E-03,4.83E-01,1.43E+00,1.98E+00,2.50E+00,3.02E+00,3.60E+00,4.11E+00,4.66E+00,5.17E+00,5.79E+00,6.30E+00,6.86E+00,7.43E+00,7.93E+00,8.46E+00,9.05E+00,9.57E+00,1.00E+01,1.06E+01,1.07E+01
Le [W/(sr*sqm)] (380-780nm),5.03E-05,4.20E-05,5.26E-05,9.44E-03,2.90E-02,3.91E-02,4.99E-02,5.98E-02,7.02E-02,8.07E-02,9.12E-02,1.01E-01,1.12E-01,1.23E-01,1.33E-01,1.44E-01,1.54E-01,1.65E-01,1.76E-01,1.86E-01,1.96E-01,2.06E-01,2.08E-01
